id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-157172,2021-04-08,000001,Vente,375000,29,,AV PASTEUR,6180,35400,35288,Saint-Malo,35,,,35288000AM0041,,,,,,,,,,,,,0,1,Maison,150,6,S,sols,,,445,-2.001312,48.656788
2021-157173,2021-04-19,000001,Vente en l'état futur d'achèvement,19000,10,,BD DE LA TOUR D AUVERGNE,8300,35400,35288,Saint-Malo,35,,,35288000AK0581,,,24,,,,,,,,,,1,,,,,,,,,,-2.003316,48.651365
2021-157174,2021-03-31,000001,Vente,171000,56,,AV DU REVEREND PERE UMBRICHT,7340,35400,35288,Saint-Malo,35,,,35288000AM0828,,,7,38.68,,,,,,,,,1,2,Appartement,36,2,,,,,,-1.99137,48.658031
2021-157174,2021-03-31,000001,Vente,171000,,,RUE HYACINTE BAUDET,4480,35400,35288,Saint-Malo,35,,,35288000AM0831,,,,,,,,,,,,,0,,,,,S,sols,,,129,-1.991361,48.657965
2021-157176,2021-04-06,000001,Vente,240000,49,,RUE DU CDT L HERMINIER,1930,35400,35288,Saint-Malo,35,,,352880000M0936,,,,,,,,,,,,,0,,,,,S,sols,,,22,-1.97509,48.678701
2021-157176,2021-04-06,000001,Vente,240000,47,,RUE DU CDT L HERMINIER,1930,35400,35288,Saint-Malo,35,,,352880000M0940,,,,,,,,,,,,,0,,,,,S,sols,,,509,-1.975092,48.678696
2021-157176,2021-04-06,000001,Vente,240000,,,CHEM DU BAS CHEMIN,B243,35400,35288,Saint-Malo,35,,,352880000M0942,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,27,-1.97529,48.678886
2021-157176,2021-04-06,000001,Vente,240000,,,CHEM DU BAS CHEMIN,B243,35400,35288,Saint-Malo,35,,,352880000M0943,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,21,-1.975161,48.678907
2021-157183,2021-04-19,000001,Vente en l'état futur d'achèvement,230000,64,,AV LA FONT AU BONHOMME,3190,35400,35288,Saint-Malo,35,,,35288000AN0901,,,80,,,,,,,,,,1,,,,,,,,,,-1.996531,48.649768
2021-157183,2021-04-19,000001,Vente en l'état futur d'achèvement,230000,64,,AV LA FONT AU BONHOMME,3190,35400,35288,Saint-Malo,35,,,35288000AN0901,,,190,,,,,,,,,,1,,,,,,,,,,-1.996531,48.649768
2021-157191,2021-04-16,000001,Vente,720000,,,L ENCLOS DE LA NOUETTE,B698,35400,35288,Saint-Malo,35,,,352880000E0601,,,,,,,,,,,,,0,,,,,S,sols,,,240,-1.976843,48.654197
2021-157191,2021-04-16,000001,Vente,720000,,,L ENCLOS DE LA NOUETTE,B698,35400,35288,Saint-Malo,35,,,352880000E0603,,,,,,,,,,,,,0,,,,,S,sols,,,97,-1.977145,48.654162
2021-157191,2021-04-16,000001,Vente,720000,17,,RUE DES CHENES,1720,35400,35288,Saint-Malo,35,,,352880000E0605,,,,,,,,,,,,,0,1,Maison,170,5,S,sols,,,510,-1.976477,48.654319
2021-157199,2021-04-14,000001,Vente,225000,7,,RUE EMMANUEL LE GUEN,2792,35400,35288,Saint-Malo,35,,,35288000AW0289,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,-2.004445,48.648127
2021-157199,2021-04-14,000001,Vente,225000,5,,RUE EMMANUEL LE GUEN,2792,35400,35288,Saint-Malo,35,,,35288000AW0289,,,179,66.51,,,,,,,,,1,2,Appartement,67,3,,,,,,-2.004445,48.648127
2021-157200,2021-04-15,000001,Vente,155660,40,,RUE DE LA TREHERAIS,8370,35400,35288,Saint-Malo,35,,,35288000BV0589,,,2,39,,,,,,,,,1,2,Appartement,39,3,,,,,,-1.998256,48.635274
2021-157200,2021-04-15,000001,Vente,155660,40,,RUE DE LA TREHERAIS,8370,35400,35288,Saint-Malo,35,,,35288000BV0589,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.998256,48.635274
2021-157207,2021-04-16,000001,Vente en l'état futur d'achèvement,387000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,70,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157207,2021-04-16,000001,Vente en l'état futur d'achèvement,387000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,49,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157209,2021-04-14,000001,Vente en l'état futur d'achèvement,385000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,46,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157209,2021-04-14,000001,Vente en l'état futur d'achèvement,385000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,98,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-157211,2021-04-14,000001,Vente,820000,40,,RUE DU BENETIN,0780,35400,35288,Saint-Malo,35,,,352880000P0292,,,,,,,,,,,,,0,1,Maison,92,6,S,sols,,,711,-1.969976,48.685028
2021-157213,2021-03-29,000001,Vente,340320,7,,RUE EMILE BRINDEJONC,2750,35400,35288,Saint-Malo,35,,,35288000AO0850,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,172,-1.992749,48.648272
2021-157213,2021-03-29,000001,Vente,340320,7,,RUE EMILE BRINDEJONC,2750,35400,35288,Saint-Malo,35,,,35288000AO0850,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,172,-1.992749,48.648272
2021-157215,2021-03-31,000001,Vente,125000,22,,AV JOHN KENNEDY,4800,35400,35288,Saint-Malo,35,,,352880000H0466,,,301,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.987799,48.663616
2021-157215,2021-03-31,000001,Vente,125000,22,,AV JOHN KENNEDY,4800,35400,35288,Saint-Malo,35,,,352880000H0466,,,40,,65,,,,,,,,2,2,Appartement,25,1,,,,,,-1.987799,48.663616
2021-157221,2021-04-14,000001,Vente,113210,17,,AV JEAN JAURES,4700,35400,35288,Saint-Malo,35,,,35288000AK0321,,,19,,64,50.44,,,,,,,2,2,Appartement,48,2,,,,,,-2.007146,48.64875
2021-157222,2021-04-28,000001,Vente,390000,57,,RUE NOMINOE,6025,35400,35288,Saint-Malo,35,,,35288000VN0076,,,,,,,,,,,,,0,1,Maison,87,4,S,sols,,,534,-1.974147,48.651932
2021-157224,2021-04-12,000001,Vente,430000,37,,RUE DU BOURNAY,1030,35400,35288,Saint-Malo,35,,,35288000CI0090,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,493,-2.002049,48.621293
2021-157225,2021-04-12,000001,Vente,238000,12,B,CHE DES OLIVIERS,6077,35400,35288,Saint-Malo,35,,,352880000E0619,,,42,68.91,,,,,,,,,1,2,Appartement,70,3,,,,,,-1.974522,48.654083
2021-157225,2021-04-12,000001,Vente,238000,12,,CHE DES OLIVIERS,6077,35400,35288,Saint-Malo,35,,,352880000E0619,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.974522,48.654083
2021-157229,2021-04-14,000001,Vente,175000,1,,RUE EMMANUEL LE GUEN,2792,35400,35288,Saint-Malo,35,,,35288000AW0289,,,223,48.04,,,,,,,,,1,2,Appartement,49,2,,,,,,-2.004445,48.648127
2021-157229,2021-04-14,000001,Vente,175000,7,,RUE EMMANUEL LE GUEN,2792,35400,35288,Saint-Malo,35,,,35288000AW0289,,,42,,,,,,,,,,1,3,Dépendance,,0,,,,,,-2.004445,48.648127
2021-157236,2021-04-06,000001,Vente,160000,4,A,RUE DE BEAULIEU,0640,35400,35288,Saint-Malo,35,,,35288000DA0730,,,9,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.98096,48.654461
2021-157236,2021-04-06,000001,Vente,160000,4,A,RUE DE BEAULIEU,0640,35400,35288,Saint-Malo,35,,,35288000DA0730,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.98096,48.654461
2021-157236,2021-04-06,000001,Vente,160000,4,B,RUE DE BEAULIEU,0640,35400,35288,Saint-Malo,35,,,35288000DA0731,,,110,42.11,,,,,,,,,1,2,Appartement,62,3,,,,,,-1.980971,48.6544
2021-157241,2021-03-30,000001,Vente,570000,11,,QUAI DUGUAY TROUIN,2611,35400,35288,Saint-Malo,35,,,35288000AI0012,,,1,,11,98.58,,,,,,,2,2,Appartement,99,4,,,,,,-2.016924,48.651782
2021-157241,2021-03-30,000001,Vente,570000,11,,QUAI DUGUAY TROUIN,2611,35400,35288,Saint-Malo,35,,,35288000AI0012,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,-2.016924,48.651782
2021-157242,2021-03-31,000001,Vente,650000,27,,BD DOUVILLE,2560,35400,35288,Saint-Malo,35,,,35288000BP0337,,,,,,,,,,,,,0,1,Maison,140,5,S,sols,,,773,-2.009282,48.631774
2021-157243,2021-04-15,000001,Vente,580000,16,,AV ROUSSIN HARRINGTON,7630,35400,35288,Saint-Malo,35,,,35288000AM0666,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,698,-1.999566,48.654585
